,MD,Well
0,5423.69,unknown
1,5438.5035,unknown
2,5453.317,unknown
3,5468.130499999999,unknown
4,5482.9439999999995,unknown
5,5497.7575,unknown
6,5512.571,unknown
7,5527.3845,unknown
8,5542.197999999999,unknown
9,5557.0115,unknown
10,5571.825,unknown
11,5586.6385,unknown
12,5601.452,unknown
13,5616.2654999999995,unknown
14,5631.079,unknown
15,5645.8925,unknown
16,5660.706,unknown
17,5675.5195,unknown
18,5690.333,unknown
19,5705.1465,unknown
20,5719.96,unknown
21,5734.559375,unknown
22,5749.1587500000005,unknown
23,5763.758125,unknown
24,5778.3575,unknown
25,5792.956875,unknown
26,5807.55625,unknown
27,5822.155625,unknown
28,5836.755,unknown
29,5851.354375,unknown
30,5865.953750000001,unknown
31,5880.553125,unknown
32,5895.1525,unknown
33,5909.751875,unknown
34,5924.35125,unknown
35,5938.950625,unknown
36,5953.55,unknown
37,5968.231818181818,unknown
38,5982.913636363636,unknown
39,5997.595454545455,unknown
40,6012.277272727273,unknown
41,6026.959090909091,unknown
42,6041.640909090909,unknown
43,6056.322727272727,unknown
44,6071.004545454545,unknown
45,6085.686363636364,unknown
46,6100.368181818182,unknown
47,6115.05,unknown
48,6129.731818181818,unknown
49,6144.413636363636,unknown
50,6159.095454545455,unknown
51,6173.777272727273,unknown
52,6188.459090909091,unknown
53,6203.140909090909,unknown
54,6217.822727272727,unknown
55,6232.504545454545,unknown
56,6247.186363636364,unknown
57,6261.868181818182,unknown
58,6276.55,unknown
59,6290.610000000001,unknown
60,6304.67,unknown
61,6318.73,unknown
62,6332.79,unknown
63,6346.85,unknown
64,6360.91,unknown
65,6375.877222222222,unknown
66,6390.844444444444,unknown
67,6405.8116666666665,unknown
68,6420.778888888889,unknown
69,6435.746111111111,unknown
70,6450.713333333333,unknown
71,6465.680555555556,unknown
72,6480.647777777777,unknown
73,6495.615,unknown
74,6510.582222222222,unknown
75,6525.549444444444,unknown
76,6540.516666666666,unknown
77,6555.483888888889,unknown
78,6570.451111111111,unknown
79,6585.418333333333,unknown
80,6600.385555555556,unknown
81,6615.352777777777,unknown
82,6630.32,unknown
83,6644.943749999999,unknown
84,6659.5675,unknown
85,6674.19125,unknown
86,6688.8150000000005,unknown
87,6703.43875,unknown
88,6718.0625,unknown
89,6732.686250000001,unknown
90,6747.31,unknown
91,6764.770588235295,unknown
92,6782.231176470588,unknown
93,6799.691764705883,unknown
94,6817.152352941177,unknown
95,6834.612941176471,unknown
96,6852.073529411765,unknown
97,6869.534117647059,unknown
98,6886.994705882354,unknown
99,6904.455294117647,unknown
100,6921.9158823529415,unknown
101,6939.376470588236,unknown
102,6956.83705882353,unknown
103,6974.297647058824,unknown
104,6991.758235294118,unknown
105,7009.2188235294125,unknown
106,7026.679411764706,unknown
107,7044.14,unknown
108,7057.865238095238,unknown
109,7071.590476190477,unknown
110,7085.315714285714,unknown
111,7099.040952380953,unknown
112,7112.766190476191,unknown
113,7126.4914285714285,unknown
114,7140.216666666667,unknown
115,7153.941904761905,unknown
116,7167.667142857143,unknown
117,7181.392380952381,unknown
118,7195.117619047619,unknown
119,7208.842857142858,unknown
120,7222.568095238095,unknown
121,7236.293333333333,unknown
122,7250.018571428572,unknown
123,7263.743809523809,unknown
124,7277.469047619047,unknown
125,7291.194285714286,unknown
126,7304.9195238095235,unknown
127,7318.644761904762,unknown
128,7332.37,unknown
129,7349.15,unknown
130,7365.93,unknown
131,7382.71,unknown
132,7399.49,unknown
133,7416.2699999999995,unknown
134,7433.05,unknown
135,7449.83,unknown
136,7466.61,unknown
137,7483.389999999999,unknown
138,7500.17,unknown
139,7516.95,unknown
140,7533.73,unknown
141,7550.51,unknown
142,7567.29,unknown
143,7584.07,unknown
144,7600.849999999999,unknown
