Well,MD,Class 1,Class 2,Class 3,Class 3b,Class 4,
BARR RANCH 1,6002.559011,3,0,0,0,0,
BARR RANCH 1,6017.63942,2,0,0,0,0,
BARR RANCH 1,6017.718021,3,0,0,0,0,
BARR RANCH 1,6032.877032,3,0,0,0,0,
BARR RANCH 1,6047.87884,2,0,0,0,0,
BARR RANCH 1,6048.036042,3,0,0,0,0,
BARR RANCH 1,6063.195053,3,0,0,0,0,
BARR RANCH 1,6078.11826,2,0,0,0,0,
BARR RANCH 1,6078.354063,3,0,0,0,0,
BARR RANCH 1,6093.513074,3,0,0,0,0,
BARR RANCH 1,6106.290397,2,0,0,0,0,
BARR RANCH 1,6106.534366,3,0,0,0,0,
BARR RANCH 1,6118.297294,3,0,0,0,0,
BARR RANCH 1,6129.755262,2,0,0,0,0,
BARR RANCH 1,6130.060223,3,0,0,0,0,
BARR RANCH 1,6142.116562,3,0,0,0,0,
BARR RANCH 1,6148.990822,2,0,0,0,0,
BARR RANCH 1,6155.692993,3,0,0,0,0,
BARR RANCH 1,6164.994097,2,0,0,0,0,
BARR RANCH 1,6169.269424,3,0,0,0,0,
BARR RANCH 1,6180.997373,2,0,0,0,0,
BARR RANCH 1,6182.845855,3,0,0,0,0,
BARR RANCH 1,6196.422286,3,0,0,0,0,
BARR RANCH 1,6197.000649,2,0,0,0,0,
BARR RANCH 1,6209.998717,3,0,0,0,0,
BARR RANCH 1,6213.003925,2,0,0,0,0,
BARR RANCH 1,6223.575148,3,0,0,0,0,
BARR RANCH 1,6229.0072,2,0,0,0,0,
BARR RANCH 1,6237.151579,3,0,0,0,0,
BARR RANCH 1,6245.010476,2,0,0,0,0,
BARR RANCH 1,6250.72801,3,0,0,0,0,
BARR RANCH 1,6261.013752,2,0,0,0,0,
BARR RANCH 1,6264.304441,3,0,0,0,0,
BARR RANCH 1,6277.017028,2,0,0,0,0,
BARR RANCH 1,6277.880872,3,0,0,0,0,
BARR RANCH 1,6291.457303,3,0,0,0,0,
BARR RANCH 1,6293.020303,2,0,0,0,0,
BARR RANCH 1,6305.033734,3,0,0,0,0,
BARR RANCH 1,6309.023579,2,0,0,0,0,
BARR RANCH 1,6318.464797,3,0,0,0,0,
BARR RANCH 1,6329.005732,3,0,0,0,0,
BARR RANCH 1,6330.340488,2,0,0,0,0,
BARR RANCH 1,6339.546667,3,0,0,0,0,
BARR RANCH 1,6350.087602,3,0,0,0,0,
BARR RANCH 1,6358.376774,2,0,0,0,0,
BARR RANCH 1,6360.628538,3,0,0,0,0,
BARR RANCH 1,6371.169473,3,0,0,0,0,
BARR RANCH 1,6381.710408,3,0,0,0,0,
BARR RANCH 1,6386.413059,2,0,0,0,0,
BARR RANCH 1,6392.251343,3,0,0,0,0,
BARR RANCH 1,6402.792278,3,0,0,0,0,
BARR RANCH 1,6409.588283,3,0,0,0,0,
BARR RANCH 1,6409.875437,2,0,0,0,0,
BARR RANCH 1,6415.546136,3,0,0,0,0,
BARR RANCH 1,6421.503988,3,0,0,0,0,
BARR RANCH 1,6424.731454,2,0,0,0,0,
BARR RANCH 1,6427.461841,3,0,0,0,0,
