Well,UWI,Surface,MD,iLayer
BET THE FARM UNIT_1,4.22273E+13,SPRBU,5526.28,0
BET THE FARM UNIT_1,4.22273E+13,SPRBM,5818.08,1
BET THE FARM UNIT_1,4.22273E+13,SPRBL,6043.14,2
BET THE FARM UNIT_1,4.22273E+13,JMLL,6368.48,3
BET THE FARM UNIT_1,4.22273E+13,SPRBLSH,6454.7,4
BET THE FARM UNIT_1,4.22273E+13,DEAN,6731.55,5
BET THE FARM UNIT_1,4.22273E+13,WFMPA,6844.61,6
BET THE FARM UNIT_1,4.22273E+13,WFMPB,7055.7,7
BET THE FARM UNIT_1,4.22273E+13,WFMPC,7369.8,8
BET THE FARM UNIT_1,4.22273E+13,CLINE,7769.87,9
