Well,UWI,Surface,MD,iLayer
BUCHANAN 42 1,4.22274E+13,SPRBU,5263.12,0
BUCHANAN 42 1,4.22274E+13,SPRBM,5562.69,1
BUCHANAN 42 1,4.22274E+13,SPRBL,5794.73,2
BUCHANAN 42 1,4.22274E+13,JMLL,6113.1,3
BUCHANAN 42 1,4.22274E+13,SPRBLSH,6200.18,4
BUCHANAN 42 1,4.22274E+13,DEAN,6462.76,5
BUCHANAN 42 1,4.22274E+13,WFMPA,6578.41,6
BUCHANAN 42 1,4.22274E+13,WFMPB,6915.81,7
BUCHANAN 42 1,4.22274E+13,WFMPC,7196.71,8
BUCHANAN 42 1,4.22274E+13,CLINE,7826.73,9
BUCHANAN 42 1,4.22274E+13,STRN,8208.37,10
