Well,MD,Class 1,Class 2,Class 3,Class 3b,Class 4,MD(ft)
PEL_NQ_APO-1001A,2395.996995,3,0,0,0,0,7860.882781
PEL_NQ_APO-1001A,2483.417993,0,0,0,2,0,8147.697088
PEL_NQ_APO-1001A,2680.61399,3,0,0,0,0,8794.665603
PEL_NQ_APO-1001A,2701.044404,3,0,0,0,0,8861.694523
PEL_NQ_APO-1001A,2701.726231,3,0,0,0,0,8863.931489
PEL_NQ_APO-1001A,2702.408059,3,0,0,0,0,8866.168455
PEL_NQ_APO-1001A,2703.089886,3,0,0,0,0,8868.405421
PEL_NQ_APO-1001A,2703.630277,0,0,0,2,0,8870.178357
PEL_NQ_APO-1001A,2703.771713,3,0,0,0,0,8870.642387
PEL_NQ_APO-1001A,2704.45354,3,0,0,0,0,8872.879354
PEL_NQ_APO-1001A,2705.135368,3,0,0,0,0,8875.11632
PEL_NQ_APO-1001A,2705.817195,3,0,0,0,0,8877.353286
PEL_NQ_APO-1001A,2706.499022,3,0,0,0,0,8879.590252
PEL_NQ_APO-1001A,2707.18085,3,0,0,0,0,8881.827219
PEL_NQ_APO-1001A,2707.862677,3,0,0,0,0,8884.064185
PEL_NQ_APO-1001A,2708.544504,3,0,0,0,0,8886.301151
PEL_NQ_APO-1001A,2709.226331,3,0,0,0,0,8888.538117
PEL_NQ_APO-1001A,2709.908159,3,0,0,0,0,8890.775084
PEL_NQ_APO-1001A,2710.589986,3,0,0,0,0,8893.01205
PEL_NQ_APO-1001A,2711.271813,3,0,0,0,0,8895.249016
PEL_NQ_APO-1001A,2711.357437,0,0,0,2,0,8895.529934
PEL_NQ_APO-1001A,2711.953641,3,0,0,0,0,8897.485982
PEL_NQ_APO-1001A,2711.997824,0,2,0,0,0,8897.630941
PEL_NQ_APO-1001A,2712.635468,3,0,0,0,0,8899.722948
PEL_NQ_APO-1001A,2713.317295,3,0,0,0,0,8901.959915
PEL_NQ_APO-1001A,2713.999122,3,0,0,0,0,8904.196881
PEL_NQ_APO-1001A,2714.68095,3,0,0,0,0,8906.433847
PEL_NQ_APO-1001A,2715.362777,3,0,0,0,0,8908.670813
PEL_NQ_APO-1001A,2716.044604,3,0,0,0,0,8910.90778
PEL_NQ_APO-1001A,2716.726432,3,0,0,0,0,8913.144746
PEL_NQ_APO-1001A,2717.408259,3,0,0,0,0,8915.381712
PEL_NQ_APO-1001A,2718.090086,3,0,0,0,0,8917.618678
PEL_NQ_APO-1001A,2718.771913,3,0,0,0,0,8919.855645
PEL_NQ_APO-1001A,2719.084598,0,0,0,2,0,8920.881512
PEL_NQ_APO-1001A,2719.453741,3,0,0,0,0,8922.092611
PEL_NQ_APO-1001A,2720.135568,3,0,0,0,0,8924.329577
PEL_NQ_APO-1001A,2720.817395,3,0,0,0,0,8926.566543
PEL_NQ_APO-1001A,2721.50808,3,0,0,0,0,8928.832569
PEL_NQ_APO-1001A,2722.283438,1,0,0,0,0,8931.376396
PEL_NQ_APO-1001A,2722.28382,0,1,0,0,0,8931.377649
PEL_NQ_APO-1001A,2722.285823,0,0,1,0,0,8931.38422
PEL_NQ_APO-1001A,2722.312599,3,0,0,0,0,8931.472067
PEL_NQ_APO-1001A,2722.706347,0,0,0,1,0,8932.76389
PEL_NQ_APO-1001A,2723.116877,1,0,0,0,0,8934.110773
PEL_NQ_APO-1001A,2723.117118,3,0,0,0,0,8934.111564
PEL_NQ_APO-1001A,2723.117641,0,1,0,0,0,8934.11328
PEL_NQ_APO-1001A,2723.121646,0,0,1,0,0,8934.126421
PEL_NQ_APO-1001A,2723.1462,0,2,0,0,0,8934.206979
PEL_NQ_APO-1001A,2723.921637,3,0,0,0,0,8936.751062
PEL_NQ_APO-1001A,2723.950315,1,0,0,0,0,8936.845151
PEL_NQ_APO-1001A,2723.951461,0,1,0,0,0,8936.848912
PEL_NQ_APO-1001A,2723.957469,0,0,1,0,0,8936.868623
PEL_NQ_APO-1001A,2723.962693,0,0,0,1,0,8936.885762
PEL_NQ_APO-1001A,2724.726155,3,0,0,0,0,8939.39056
PEL_NQ_APO-1001A,2724.783753,1,0,0,0,0,8939.579529
PEL_NQ_APO-1001A,2724.785282,0,1,0,0,0,8939.584543
PEL_NQ_APO-1001A,2724.793292,0,0,1,0,0,8939.610825
PEL_NQ_APO-1001A,2725.21904,0,0,0,1,0,8941.007634
PEL_NQ_APO-1001A,2725.530674,3,0,0,0,0,8942.030057
PEL_NQ_APO-1001A,2725.617191,1,0,0,0,0,8942.313906
PEL_NQ_APO-1001A,2725.619102,0,1,0,0,0,8942.320174
PEL_NQ_APO-1001A,2725.629115,0,0,1,0,0,8942.353026
PEL_NQ_APO-1001A,2726.335193,3,0,0,0,0,8944.669555
PEL_NQ_APO-1001A,2726.428594,0,3,0,0,0,8944.975989
PEL_NQ_APO-1001A,2726.45063,1,0,0,0,0,8945.048284
PEL_NQ_APO-1001A,2726.452922,0,1,0,0,0,8945.055805
PEL_NQ_APO-1001A,2726.464938,0,0,1,0,0,8945.095228
PEL_NQ_APO-1001A,2726.475386,0,0,0,1,0,8945.129506
PEL_NQ_APO-1001A,2726.862012,0,0,0,2,0,8946.397963
PEL_NQ_APO-1001A,2727.139712,3,0,0,0,0,8947.309052
PEL_NQ_APO-1001A,2727.284068,1,0,0,0,0,8947.782662
PEL_NQ_APO-1001A,2727.286743,0,1,0,0,0,8947.791437
PEL_NQ_APO-1001A,2727.300761,0,0,1,0,0,8947.83743
PEL_NQ_APO-1001A,2727.731733,0,0,0,1,0,8949.251378
PEL_NQ_APO-1001A,2727.944231,3,0,0,0,0,8949.94855
PEL_NQ_APO-1001A,2728.117506,1,0,0,0,0,8950.517039
PEL_NQ_APO-1001A,2728.120563,0,1,0,0,0,8950.527068
PEL_NQ_APO-1001A,2728.136584,0,0,1,0,0,8950.579631
PEL_NQ_APO-1001A,2728.74875,3,0,0,0,0,8952.588048
PEL_NQ_APO-1001A,2728.950945,1,0,0,0,0,8953.251417
PEL_NQ_APO-1001A,2728.954383,0,1,0,0,0,8953.262699
PEL_NQ_APO-1001A,2728.972407,0,0,1,0,0,8953.321833
PEL_NQ_APO-1001A,2728.988079,0,0,0,1,0,8953.37325
PEL_NQ_APO-1001A,2729.553268,3,0,0,0,0,8955.227545
PEL_NQ_APO-1001A,2729.784383,1,0,0,0,0,8955.985795
PEL_NQ_APO-1001A,2729.788204,0,1,0,0,0,8955.99833
PEL_NQ_APO-1001A,2729.80823,0,0,1,0,0,8956.064034
PEL_NQ_APO-1001A,2730.244426,0,0,0,1,0,8957.495121
PEL_NQ_APO-1001A,2730.357787,3,0,0,0,0,8957.867043
PEL_NQ_APO-1001A,2730.617821,1,0,0,0,0,8958.720172
