Well,lyr,MD,RHOB,UOIL,X,Y,Z,I,J,K,MD(ft)
PEL_NQ_APO-1001A,0,2700.41,2.566613842,0.052637129,2532076.446,5776995.391,-2343.912857,21.36043611,55.38010222,0.071428571,8859.613144
PEL_NQ_APO-1001A,1,2703.415714,2.554477956,0.056295426,2532076.446,5776995.391,-2346.918571,21.36043611,55.38010222,0.214285714,8869.474412
PEL_NQ_APO-1001A,2,2706.421429,2.55734501,0.053933575,2532076.446,5776995.391,-2349.924286,21.36043611,55.38010222,0.357142857,8879.33568
PEL_NQ_APO-1001A,3,2709.427143,2.594486495,0.0506072,2532076.446,5776995.391,-2352.93,21.36043611,55.38010222,0.5,8889.196947
PEL_NQ_APO-1001A,4,2712.432857,2.546555855,0.060494685,2532076.446,5776995.391,-2355.935714,21.36043611,55.38010222,0.642857143,8899.058215
PEL_NQ_APO-1001A,5,2715.438571,2.523821293,0.063548007,2532076.446,5776995.391,-2358.941394,21.36043611,55.38010222,0.785714286,8908.919483
PEL_NQ_APO-1001A,6,2718.444217,2.542634774,0.061364053,2532076.446,5776995.391,-2361.947108,21.36043611,55.38010222,0.928571429,8918.780525
PEL_NQ_APO-1001A,7,2721.45,2.565656584,0.051867453,2532076.446,5776995.391,-2364.888043,21.36043611,55.38010222,1.02173913,8928.642018
PEL_NQ_APO-1001A,8,2724.326087,2.574460377,0.050780809,2532076.446,5776995.391,-2367.76413,21.36043611,55.38010222,1.065217391,8938.077999
PEL_NQ_APO-1001A,9,2727.202174,2.564063666,0.048471172,2532076.446,5776995.391,-2370.640217,21.36043611,55.38010222,1.108695652,8947.51398
PEL_NQ_APO-1001A,10,2730.078261,2.558960018,0.043366884,2532076.446,5776995.391,-2373.516304,21.36043611,55.38010222,1.152173913,8956.949961
PEL_NQ_APO-1001A,11,2732.954348,2.572095075,0.047419583,2532076.446,5776995.391,-2376.392391,21.36043611,55.38010222,1.195652174,8966.385943
PEL_NQ_APO-1001A,12,2735.830435,2.570896363,0.049936009,2532076.446,5776995.391,-2379.268478,21.36043611,55.38010222,1.239130435,8975.821924
PEL_NQ_APO-1001A,13,2738.706522,2.538177647,0.055543896,2532076.446,5776995.391,-2382.144565,21.36043611,55.38010222,1.282608696,8985.257905
PEL_NQ_APO-1001A,14,2741.582609,2.537316801,0.05460723,2532076.446,5776995.391,-2385.020652,21.36043611,55.38010222,1.326086957,8994.693886
PEL_NQ_APO-1001A,15,2744.458696,2.54336001,0.055573266,2532076.446,5776995.391,-2387.896739,21.36043611,55.38010222,1.369565217,9004.129867
PEL_NQ_APO-1001A,16,2747.334783,2.495585559,0.06691967,2532076.446,5776995.391,-2390.772826,21.36043611,55.38010222,1.413043478,9013.565848
PEL_NQ_APO-1001A,17,2750.21087,2.467839226,0.075605178,2532076.446,5776995.391,-2393.648913,21.36043611,55.38010222,1.456521739,9023.001829
PEL_NQ_APO-1001A,18,2753.086957,2.516675723,0.063502451,2532076.446,5776995.391,-2396.525,21.36043611,55.38010222,1.5,9032.43781
PEL_NQ_APO-1001A,19,2755.963043,2.523242385,0.064232803,2532076.446,5776995.391,-2399.401087,21.36043611,55.38010222,1.543478261,9041.873792
PEL_NQ_APO-1001A,20,2758.83913,2.505843286,0.066875897,2532076.446,5776995.391,-2402.277174,21.36043611,55.38010222,1.586956522,9051.309773
PEL_NQ_APO-1001A,21,2761.715217,2.515230438,0.062567941,2532076.446,5776995.391,-2405.153261,21.36043611,55.38010222,1.630434783,9060.745754
PEL_NQ_APO-1001A,22,2764.591304,2.479801982,0.072507318,2532076.446,5776995.391,-2408.029348,21.36043611,55.38010222,1.673913043,9070.181735
PEL_NQ_APO-1001A,23,2767.467391,2.472323268,0.068679694,2532076.446,5776995.391,-2410.905435,21.36043611,55.38010222,1.717391304,9079.617716
PEL_NQ_APO-1001A,24,2770.343478,2.480624419,0.074041884,2532076.446,5776995.391,-2413.781522,21.36043611,55.38010222,1.760869565,9089.053697
PEL_NQ_APO-1001A,25,2773.219565,2.443889048,0.082945923,2532076.446,5776995.391,-2416.657609,21.36043611,55.38010222,1.804347826,9098.489678
PEL_NQ_APO-1001A,26,2776.095652,2.471724378,0.072549918,2532076.446,5776995.391,-2419.533696,21.36043611,55.38010222,1.847826087,9107.925659
PEL_NQ_APO-1001A,27,2778.971739,2.462348099,0.077850673,2532076.446,5776995.391,-2422.409783,21.36043611,55.38010222,1.891304348,9117.361641
PEL_NQ_APO-1001A,28,2781.847826,2.455944636,0.079867385,2532076.446,5776995.391,-2425.28587,21.36043611,55.38010222,1.934782609,9126.797622
